BOTTLE,20210219CCHSIOCBG
320620170820,        P06,     212,          1,         36,         36,2,20170918,       0602,   -32.5003,   -94.4335,       3866,     8.6,  15.8653,  34.6461,2,  34.6521,2, 246.5484,2,  247.451,2,     0.0,2,    0.61,2,    0.07,2,    0.23,2,   2.443,2,   1.411,2,   1.5760,2,  2050.0,6,  2290.3,2,   7.9389,2,    25.00,  -999.0,9,  -999.0,    59.2,2,    4.70,2,     -999.0,1, 20170918,      759, -32.5003, -94.4335,        0.0,1,      0.232,1,      4.597,1,      0.217,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    15.8699,2
320620170820,        P06,     213,          1,          1,          1,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  3796.7,   1.7794,  34.6915,2,  34.6940,2, 165.4806,2, 165.4652,2,   119.6,2,   34.41,2,    0.01,2,    2.41,2,   0.038,2,   0.022,2,   0.0000,2,  2301.3,6,  2392.2,2,   7.5884,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1414, -32.4996, -93.5454,        0.0,1,      0.061,1,      4.683,1,      0.133,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7799,2
320620170820,        P06,     213,          1,          2,          2,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  3676.6,   1.7674,  34.6914,2,  34.6930,2, 165.4806,2, 165.4661,2,   119.3,2,   34.42,2,    0.00,2,    2.41,2,   0.043,2,   0.027,2,   0.0000,2,  2300.7,2,  2392.2,2,   7.5889,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1417, -32.4996, -93.5453,        0.0,1,      0.061,1,      4.684,1,      0.134,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7679,2
320620170820,        P06,     213,          1,          3,          3,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  3553.1,   1.7591,  34.6911,2,  34.6928,2, 165.4806,2, 165.2227,2,   119.1,2,   34.40,2,    0.00,2,    2.40,2,   0.034,2,   0.022,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1420, -32.4996, -93.5453,        0.0,1,      0.061,1,      4.685,1,      0.130,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7596,2
320620170820,        P06,     213,          1,          4,          4,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  3298.7,   1.7525,  34.6900,2,  34.6912,2, 165.3799,2, 165.3411,2,   118.7,2,   34.33,2,    0.00,2,    2.41,2,   0.041,2,   0.027,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1425, -32.4997, -93.5452,        0.0,1,      0.060,1,      4.686,1,      0.128,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7539,2
320620170820,        P06,     213,          1,          5,          5,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  3042.9,   1.7561,  34.6881,2,  34.6901,2,  165.351,2, 165.8464,2,   118.1,2,   34.30,2,    0.00,2,    2.40,2,   0.036,2,   0.022,2,   0.0000,2,  2297.7,2,  2391.2,2,   7.5886,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1430, -32.4997, -93.5453,        0.0,1,      0.060,1,      4.687,1,      0.128,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7574,2
320620170820,        P06,     213,          1,          6,          6,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  2787.5,   1.7692,  34.6847,2,  34.6857,2, 165.6083,2, 165.6087,2,   117.6,2,   34.37,2,    0.00,2,    2.40,2,   0.041,2,   0.026,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1435, -32.4997, -93.5452,        0.0,1,      0.061,1,      4.687,1,      0.128,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7711,2
320620170820,        P06,     213,          1,          7,          7,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  2531.3,   1.8224,  34.6770,2,  34.6767,2, 163.6228,2,  162.948,2,   116.2,2,   34.54,2,    0.00,2,    2.41,2,   0.035,2,   0.021,2,   0.0000,2,  2295.9,2,  2386.9,2,   7.5814,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1440, -32.4997, -93.5451,        0.0,1,      0.061,1,      4.688,1,      0.128,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8358,2
320620170820,        P06,     213,          1,          8,          8,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  2277.5,   1.9379,  34.6625,2,  34.6625,2, 159.4289,2,  159.478,2,   112.6,2,   34.82,2,    0.00,2,    2.42,2,   0.039,2,   0.028,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1446, -32.4997, -93.5452,        0.0,1,      0.061,1,      4.688,1,      0.130,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.9461,2
320620170820,        P06,     213,          1,          9,          9,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  2023.2,   2.1589,  34.6342,2,  34.6370,2, 155.0854,2, 155.6463,2,   106.2,2,   35.20,2,    0.00,2,    2.45,2,   0.037,2,   0.025,2,   0.0000,2,  2291.4,2,  2376.4,6,   7.5674,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1451, -32.4996, -93.5454,        0.0,1,      0.061,1,      4.688,1,      0.130,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.1443,2
320620170820,        P06,     213,          1,         10,         10,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  1820.6,   2.3490,  34.6101,2,  34.6077,2, 149.5605,2, 149.8556,2,   100.3,2,   35.78,2,    0.00,2,    2.49,2,   0.042,2,   0.029,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1455, -32.4997, -93.5450,        0.0,1,      0.061,1,      4.688,1,      0.132,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.3688,2
320620170820,        P06,     213,          1,         11,         11,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  1719.5,   2.5133,  34.5922,2,  34.5889,2, 143.9447,2, 144.4705,2,    96.5,2,   36.35,2,    0.00,2,    2.54,2,   0.036,2,   0.024,2,   0.0000,2,  2289.8,2,  2367.7,2,   7.5466,6,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1458, -32.4997, -93.5451,        0.0,1,      0.061,1,      4.688,1,      0.133,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.5503,2
320620170820,        P06,     213,          1,         12,         12,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  1617.5,   2.6913,  34.5752,2,  34.5753,2, 139.2422,2, 139.2072,2,    87.3,3,   38.17,3,    0.00,2,    2.67,3,   0.036,2,   0.026,2,   0.0000,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1500, -32.4997, -93.5451,        0.0,1,      0.061,1,      4.687,1,      0.132,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.7011,2
320620170820,        P06,     213,          1,         13,         13,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  1515.8,   2.8836,  34.5623,2,  34.5622,2, 132.4877,2, 132.2009,2,    91.6,2,   37.50,2,    0.00,2,    2.63,2,   0.035,2,   0.023,2,   0.0000,2,  2291.1,2,  2361.6,2,   7.5284,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1503, -32.4997, -93.5451,        0.0,1,      0.062,1,      4.687,1,      0.132,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.8892,2
320620170820,        P06,     213,          1,         14,         14,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  1415.7,   3.1055,  34.5444,2,  34.5451,2, 126.2404,2, 125.4465,2,    87.1,2,   38.08,2,    0.00,2,    2.66,2,   0.037,2,   0.026,2,   0.0000,2,  2289.3,2,  2357.2,2,   7.5159,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1505, -32.4997, -93.5451,        0.0,1,      0.061,1,      4.687,1,      0.131,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.1059,2
320620170820,        P06,     213,          1,         15,         15,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  1211.3,   3.4772,  34.4905,2,  34.4921,2,  122.235,2, 122.7102,2,    73.7,2,   38.50,2,    0.00,2,    2.68,2,   0.046,2,   0.032,2,   0.0000,2,  2279.7,6,  2339.4,2,   7.5050,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1510, -32.4998, -93.5447,        0.0,1,      0.061,1,      4.687,1,      0.133,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.4727,2
320620170820,        P06,     213,          1,         16,         16,2,20170918,       1414,   -32.4998,   -93.5440,       3746,  1009.0,   3.9563,  34.3492,2,  34.3570,2, 165.6681,2, 165.2438,2,    43.9,2,   34.97,2,    0.00,2,    2.41,2,   0.532,2,   0.278,2,   0.0410,2,  2229.6,2,  2306.8,2,   7.5516,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1514, -32.4998, -93.5443,        0.0,1,      0.061,1,      4.686,1,      0.134,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.8854,2
320620170820,        P06,     213,          1,         17,         17,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   908.2,   4.3699,  34.3032,2,  34.3080,2, 187.3929,2, 186.7427,2,    31.6,2,   32.36,2,    0.00,2,    2.27,2,   1.177,2,   0.577,2,   0.1340,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1516, -32.4998, -93.5443,        0.0,1,      0.060,1,      4.686,1,      0.134,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.3106,2
320620170820,        P06,     213,          1,         18,         18,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   805.9,   4.8166,  34.2683,2,  34.2689,2, 213.3502,2, 212.7276,2,    20.6,2,   29.04,2,    0.00,2,    2.04,2,   2.159,2,   1.056,2,   0.3110,2,  2183.4,2,  2286.2,2,   7.6301,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1519, -32.4998, -93.5443,        0.0,1,      0.060,1,      4.686,1,      0.135,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.8017,2
320620170820,        P06,     213,          1,         19,         19,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   707.1,   5.2626,  34.2505,2,  34.2499,2, 231.3077,2, 232.0314,2,    13.6,2,   26.26,2,    0.00,2,    1.87,2,   3.221,2,   1.590,2,   0.4660,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1522, -32.4999, -93.5441,        0.0,1,      0.060,1,      4.686,1,      0.132,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.2728,2
320620170820,        P06,     213,          1,         20,         20,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   602.8,   5.7184,  34.2560,2,  34.2566,2, 244.4381,2, 244.7994,2,     9.7,2,   23.85,2,    0.00,2,    1.71,2,   3.739,2,   1.939,2,   0.9730,2,  2155.6,2,  2273.1,2,   7.6823,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1524, -32.4999, -93.5439,        0.0,1,      0.059,1,      4.686,1,      0.135,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.7450,2
320620170820,        P06,     213,          1,         21,         21,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   505.8,   6.1196,  34.2723,2,  34.2740,2, 240.0419,2, 240.6625,2,     8.4,2,   23.09,2,    0.00,2,    1.67,2,   3.800,2,   2.004,2,   1.0110,2,  2156.5,2,  2273.4,2,   7.6771,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1527, -32.5001, -93.5436,        0.0,1,      0.059,1,      4.684,1,      0.136,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.1715,2
320620170820,        P06,     213,          1,         22,         22,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   454.6,   6.3786,  34.2780,2,  34.2754,2, 231.7493,2, 232.1689,2,     7.8,2,   23.03,2,    0.00,2,    1.68,2,   3.757,2,   1.991,2,   1.1270,2,  2159.9,2,  2274.6,2,   7.6670,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1529, -32.5001, -93.5434,        0.0,1,      0.060,1,      4.684,1,      0.134,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.4641,2
320620170820,        P06,     213,          1,         23,         23,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   403.7,   6.7485,  34.2670,2,  34.2656,2, 213.6378,2, 220.7693,2,     7.7,2,   23.35,2,    0.00,2,    1.72,2,   3.685,2,   1.974,2,   1.2050,2,  2162.0,2,  2272.1,2,   7.6510,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1530, -32.5001, -93.5434,        0.0,1,      0.059,1,      4.683,1,      0.135,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.7468,2
320620170820,        P06,     213,          1,         24,         24,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   302.7,   8.7694,  34.2064,2,  34.2075,2, 215.1464,2, 210.5856,2,     4.3,2,   19.19,2,    0.00,2,    1.52,2,   3.492,2,   1.906,2,   1.3610,2,  2146.6,2,  2265.4,6,   7.6773,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1533, -32.5001, -93.5434,        0.0,1,      0.060,1,      4.680,1,      0.135,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     8.6172,2
320620170820,        P06,     213,          1,         25,         25,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   251.1,  10.5609,  34.2239,2,  34.2228,3, 216.5526,2, 215.7437,2,     1.3,2,   13.55,2,    0.00,2,    1.15,2,   3.273,2,   1.822,2,   1.3140,2,  2119.2,2,  2263.3,2,   7.7464,6,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1535, -32.5000, -93.5435,        0.0,1,      0.061,1,      4.676,1,      0.136,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.5845,2
320620170820,        P06,     213,          1,         26,         26,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   200.1,  12.7745,  34.2369,2,  34.2491,2, 219.9095,2, 219.2329,2,     0.5,2,    8.87,2,    0.02,2,    0.88,2,   2.947,6,   1.693,6,   1.5445,6,  2096.6,2,  2263.4,2,   7.7996,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1536, -32.5000, -93.5436,        0.0,1,      0.079,1,      4.666,1,      0.143,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    12.3975,2
320620170820,        P06,     213,          1,         27,         27,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   149.4,  14.9221,  34.4189,2,  34.4347,2,  250.699,2, 250.7793,2,     0.0,2,    0.06,2,    0.12,2,    0.31,2,   2.480,2,   1.463,2,   1.5040,2,  2052.0,2,  2277.2,2,   7.9217,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1538, -32.5000, -93.5438,        0.0,1,      0.142,1,      4.642,1,      0.186,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    14.9809,2
320620170820,        P06,     213,          1,         28,         28,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   125.7,  14.9701,  34.4284,2,  34.4363,2, 250.9078,2, 251.0033,2,     0.0,2,    0.06,2,    0.12,2,    0.32,2,   2.520,2,   1.475,2,   1.6160,2,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1539, -32.4999, -93.5439,        0.0,1,      0.172,1,      4.622,1,      0.201,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    14.9871,2
320620170820,        P06,     213,          1,         29,         29,2,20170918,       1414,   -32.4998,   -93.5440,       3746,   100.4,  14.9755,  34.4302,2,  34.4398,2, 251.0563,2, 251.1687,2,     0.0,2,    0.06,2,    0.11,2,    0.31,2,   2.515,2,   1.470,2,   1.6020,2,  2050.9,2,  2278.1,2,   7.9215,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1541, -32.4998, -93.5440,        0.0,1,      0.176,1,      4.618,1,      0.208,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    14.9998,2
320620170820,        P06,     213,          1,         32,         32,2,20170918,       1414,   -32.4998,   -93.5440,       3746,    74.0,  14.9743,  34.4309,2,-999.0000,9, 243.4611,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1543, -32.4998, -93.5442,        0.0,1,      0.175,1,      4.617,1,      0.209,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,    14.9994,2
320620170820,        P06,     213,          1,         31,         31,2,20170918,       1414,   -32.4998,   -93.5440,       3746,    73.9,  14.9749,  34.4309,2,-999.0000,9, 243.4737,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1543, -32.4998, -93.5441,        0.0,1,      0.174,1,      4.618,1,      0.200,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,5
320620170820,        P06,     213,          1,         30,         30,2,20170918,       1414,   -32.4998,   -93.5440,       3746,    73.8,  14.9749,  34.4309,2,  34.4404,2,  250.964,2,  251.117,2,     0.0,2,    0.06,2,    0.11,2,    0.31,2,   2.512,2,   1.469,2,   1.5830,2,  2053.2,2,  2276.4,2,   7.9240,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1543, -32.4998, -93.5441,        0.0,1,      0.174,1,      4.618,1,      0.200,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    14.9989,2
320620170820,        P06,     213,          1,         33,         33,2,20170918,       1414,   -32.4998,   -93.5440,       3746,    49.2,  14.9794,  34.4328,2,  34.4412,2, 250.9542,2, 251.1548,2,     0.0,2,    0.06,2,    0.11,2,    0.30,2,   2.497,2,   1.455,2,   1.6250,2,  2050.2,2,  2277.9,2,   7.9236,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1545, -32.4998, -93.5442,        0.0,1,      0.173,1,      4.615,1,      0.208,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    14.9992,2
320620170820,        P06,     213,          1,         35,         35,2,20170918,       1414,   -32.4998,   -93.5440,       3746,    29.8,  14.9859,  34.4354,2,-999.0000,9, 243.7471,2,-999.0000,9,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.0000,9,  -999.0,9,  -999.0,9,-999.0000,9,  -999.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1546, -32.4998, -93.5441,        0.0,1,      0.164,1,      4.612,1,      0.209,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,5
320620170820,        P06,     213,          1,         34,         34,2,20170918,       1414,   -32.4998,   -93.5440,       3746,    28.8,  14.9859,  34.4354,2,  34.4408,2, 251.0126,2, 251.3193,2,     0.0,2,    0.06,2,    0.11,2,    0.32,2,   2.463,2,   1.456,2,   1.5770,2,  2050.8,2,  2277.5,2,   7.9235,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1546, -32.4998, -93.5442,        0.0,1,      0.164,1,      4.612,1,      0.209,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    14.9961,2
320620170820,        P06,     213,          1,         36,         36,2,20170918,       1414,   -32.4998,   -93.5440,       3746,     5.8,  14.9835,  34.4345,2,  34.4406,2, 251.7457,2, 251.2688,2,     0.0,2,    0.06,2,    0.11,2,    0.30,2,   2.521,2,   1.469,2,   1.6790,2,  2051.9,6,  2279.9,2,   7.9230,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     1548, -32.4998, -93.5440,        0.0,1,      0.172,1,      4.613,1,      0.196,1,     -999.0,1,     -999.0,1,     -999.0,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    14.9305,2
320620170820,        P06,     214,          1,          1,          1,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  4753.6,   1.8457,  34.6932,2,  34.6934,3, 165.2712,2, 164.6108,2,   120.3,2,   34.54,2,    0.00,2,    2.38,2,   0.037,2,   0.023,2,   0.0000,2,  2301.1,6,  2403.7,3,   7.5888,2,    25.00,  -999.0,9,  -999.0,    37.2,2, -999.00,9,     -999.0,1, 20170918,     2307, -32.4999, -92.6556,        0.0,1,      0.061,1,      4.681,1,      0.131,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8461,2
